id,x,y
0,286690.715164452,8651912.90734096
1,287093.287132638,8651591.54132653
2,286976.587931442,8651015.70299491
3,287134.107559165,8651502.05696312
4,287052.401728508,8650818.6580801
5,287007.651383734,8650170.03488656
6,287037.891964836,8649742.52012722
7,287041.031138772,8649412.68027223
8,287035.639566451,8648531.42328001
9,286736.069457497,8648993.40531911
10,286751.097813143,8648350.30169435
11,286792.711364925,8647833.53441577
12,287091.751839695,8647499.99474436
13,286698.245859425,8647106.89364675
14,287096.443555355,8646629.17717768
15,287526.750176702,8651858.96979286
16,287375.613354946,8651182.43166951
17,287165.168487055,8650767.190527
18,287609.244458798,8650515.5328129
19,287285.486152763,8650379.6633214
20,287392.800467736,8649702.4407665
21,287265.841065063,8649386.75106105
22,287612.8904467,8648689.55962154
23,287168.869281557,8648972.35613302
24,287558.211548401,8648248.70021673
25,287216.170738793,8647870.7789552
26,287545.951498392,8647186.3182573
27,287223.038252711,8646714.11789548
28,287650.354021905,8646975.33442606
29,287603.97896225,8646283.52664438
30,288111.220503681,8651742.72257628
31,287832.335178806,8651278.73376017
32,287668.553399626,8650909.12040591
33,288128.204465452,8650700.42053737
34,288026.201566405,8650029.08588351
35,287719.399271894,8650452.22130901
36,287766.489042858,8649687.2998048
37,288159.812445408,8649094.10449734
38,287785.016152914,8649463.52413164
39,287988.879474927,8648761.57266079
40,287975.321867305,8648183.67516913
41,287994.464128117,8647519.19649193
42,287824.490622627,8648011.50948602
43,288152.689938761,8647297.10890526
44,288141.377176414,8646979.43822481
45,287845.184234459,8646447.58859687
46,288157.448600936,8646035.02579144
47,288312.859281297,8651946.35665708
48,288633.84881008,8651526.83430229
49,288196.301662173,8651333.1838048
50,288642.079685294,8651102.7611053
51,288478.286344512,8650646.92534629
52,288569.510117124,8650116.49853082
53,288223.239213499,8650511.20213753
54,288606.196530307,8649652.40386949
55,288177.572098155,8649983.16997808
56,288355.121645154,8649327.95758067
57,288269.772650099,8648529.25586203
58,288605.91559279,8648958.01306793
59,288639.642688947,8648122.42769838
60,288186.061483109,8648341.92758472
61,288362.150275525,8647874.42618343
62,288612.736038953,8647127.99907614
63,288174.501837511,8647448.83705502
64,288238.723705259,8646988.41631261
65,288652.465776256,8646583.54854794
66,288531.950856774,8646432.69908404
67,288170.717954,8646025.305589
68,288669.414069199,8651640.51039356
69,289149.754794132,8651866.12051643
